End Date,Lab,Temp,Sal,pH,NH4,NO2,NO3,PO4,Alk,Ca,Mg,,,,,,,,,,,,,,,,,,
11/3/2024,HML,22.5,36.5,8.09,0,0.016,1.2,0.12,7.5,440,1370,,,,,,,,,,,,,,,,,,
11/10/2024,HML,22,36,8.17,0,0.005,1.1,0.38,7.6,420,1370,,,,,,,,,,,,,,,,,,
11/17/2024,HML,21.8,36.9,8.01,0,0.015,0.7,0.46,7.4,440,1370,,,,,,,,,,,,,,,,,,
11/24/2024,HML,22,36.4,7.97,0,0.01,1.5,0.05,7.6,430,1447,,,,,,,,,,,,,,,,,,
12/1/2024,HML,21.9,36.4,8.1,0,0.014,0.3,0.05,7.1,420,1500,,,,,,,,,,,,,,,,,,
12/8/2024,HML,21.9,36.3,8.12,0,0.006,1.8,0.05,7,430,1480,,,,,,,,,,,,,,,,,,
12/15/2024,HML,22,36.2,8.1,0,0,4,0.3,7.3,465,1395,,,,,,,,,,,,,,,,,,
12/22/2024,HML,21.8,36.1,8.1,0,0,7,0.1,7.1,478,1293,,,,,,,,,,,,,,,,,,
12/29/2024,HML,21.9,36.6,8,0,0,7,0.3,6.9,459,1368,,,,,,,,,,,,,,,,,,
1/5/2025,HML,21.8,37,8,0.1,0,9,0.4,7.2,467,1447,,,,,,,,,,,,,,,,,,
1/12/2025,HML,22,36.3,8,0,0,9,0.3,6.6,436,1333,,,,,,,,,,,,,,,,,,
1/26/2025,HML,22.5,35.8,8.1,0.1,0,8,0.4,7.9,405,1379,,,,,,,,,,,,,,,,,,
2/2/2025,HML,22.3,36.2,8.1,0,0,10,0.4,7.7,460,1266,,,,,,,,,,,,,,,,,,
2/9/2025,HML,22.5,36.3,8.1,0,0,8,0.4,7.4,456,1397,,,,,,,,,,,,,,,,,,
2/16/2025,HML,21.9,36.4,8.1,0,0,9,0.1,7,457,1450,,,,,,,,,,,,,,,,,,
2/23/2025,HML,22.1,36.2,8.1,0,0,8,0.3,7.2,453,1365,,,,,,,,,,,,,,,,,,
3/2/2025,HML,22,36.2,8.1,0,0,8,0.2,7.2,485,1335,,,,,,,,,,,,,,,,,,
3/9/2025,HML,22.1,36.2,8.1,0.1,0,8,0.4,7.2,450,1447,,,,,,,,,,,,,,,,,,
3/16/2025,HML,21.8,36.2,8.1,0,0,8.1,0.2,7.1,484,1313,,,,,,,,,,,,,,,,,,
3/23/2025,HML,22,36.1,8.1,0,0,7,0.4,7.5,440,1323,,,,,,,,,,,,,,,,,,
3/30/2025,HML,21.8,36,8.1,0,0,8,0.3,6.8,466,1199,,,,,,,,,,,,,,,,,,
4/6/2025,HML,21.9,36.2,8.1,0,0,8,0.4,7,460,1285,,,,,,,,,,,,,,,,,,
11/3/2024,GAL,24,35,8.3,0.1,0,2.1,0.1,8.3,381,1370,,,,,,,,,,,,,,,,,,
11/10/2024,GAL,24.36,35.57,8.22,0.02,0.03,2.1,0.08,8.01,690,1330,,,,,,,,,,,,,,,,,,
11/17/2024,GAL,24.21,34.86,8.22,0,0.03,3.05,0.18,7.38,1533,1337,,,,,,,,,,,,,,,,,,
11/24/2024,GAL,24.29,35.43,7.99,0,0.01,2.77,0.15,8.01,688,1358,,,,,,,,,,,,,,,,,,
12/1/2024,GAL,24.11,35.14,7.96,0,0.01,3.53,0.17,8.48,671,1363,,,,,,,,,,,,,,,,,,
12/8/2024,GAL,23.25,35,7.97,0,0.01,2.93,0.24,9.04,673,1335,,,,,,,,,,,,,,,,,,
12/15/2024,GAL,23.23,35,8.07,0,0.01,3.1,0.25,8.17,656,1351,,,,,,,,,,,,,,,,,,
12/22/2024,GAL,23.21,35.43,8.14,0.01,0.01,3.3,0.35,10.46,669,1366,,,,,,,,,,,,,,,,,,
12/29/2024,GAL,23.29,35.43,8.17,0.01,0.01,2.6,0.43,10.87,656,1362,,,,,,,,,,,,,,,,,,
1/5/2025,GAL,23.21,35.71,8.15,0,0.01,2.83,0.61,10.45,628,1355,,,,,,,,,,,,,,,,,,
1/12/2025,GAL,23.29,35.14,8.18,0,0.01,3.43,0.71,10.24,593,1340,,,,,,,,,,,,,,,,,,
1/26/2025,GAL,23.26,35,8.04,0,0.01,2.4,0.68,10.47,449,1363,,,,,,,,,,,,,,,,,,
2/2/2025,GAL,22.34,36,8.05,0,0.01,2.6,0.71,10.86,454,1370,,,,,,,,,,,,,,,,,,
2/9/2025,GAL,22.14,35.86,8.09,0,0.01,3.08,0.8,11.2,445,1368,,,,,,,,,,,,,,,,,,
2/16/2025,GAL,22.16,35.57,8.11,0,0.01,2.53,0.49,11.01,435,1349,,,,,,,,,,,,,,,,,,
2/23/2025,GAL,22.81,35.55,8.1,0,0.01,2.89,0.67,10.66,500,1359,,,,,,,,,,,,,,,,,,
3/2/2025,GAL,22.75,35.53,8.09,0,0.01,2.89,0.68,10.69,482,1360,,,,,,,,,,,,,,,,,,
3/9/2025,GAL,21.56,34.57,8.4,0,0.01,3.05,0.04,9.23,412,3031,,,,,,,,,,,,,,,,,,
3/16/2025,GAL,22,35,8.4,0,0,2.5,0.1,9.1,404,1364,,,,,,,,,,,,,,,,,,
3/23/2025,GAL,21.56,35.29,8.31,0,0.01,2.73,0.08,9.28,385,1380,,,,,,,,,,,,,,,,,,
3/30/2025,GAL,22.14,35.34,8.21,0,0.01,2.81,0.41,10.17,437,1602,,,,,,,,,,,,,,,,,,
4/6/2025,GAL,21.59,35,8.3,0,0.01,2.3,0.14,8.64,339,1359,,,,,,,,,,,,,,,,,,
11/3/2024,GNV,23,35.5,7.99,0,0.02,27,0.27,7.54,493,1480,,,,,,,,,,,,,,,,,,
11/10/2024,GNV,22.7,35.2,7.92,0,0,17.5,0.15,6.59,490,1440,,,,,,,,,,,,,,,,,,
11/17/2024,GNV,22.7,35.2,7.92,0,0,20,0.34,6.59,490,1440,,,,,,,,,,,,,,,,,,
11/24/2024,GNV,21.7,35.4,8.03,0,0,20,0.65,8.16,490,1470,,,,,,,,,,,,,,,,,,
12/1/2024,GNV,21.7,35.4,8.03,0,0,20,0.65,8.16,490,1470,,,,,,,,,,,,,,,,,,
